transaction_id,sale_date,sale_year,borough,neighborhood,property_type,building_class_category,commercial_units,total_units,gross_square_feet,sale_price,price_per_sqft,year_built,latitude,longitude,community_board
3-2739-9-2021-01-08-2075000,2021-01-08,2021,Brooklyn,WILLIAMSBURG-EAST,Other commercial,14 RENTALS - 4-10 UNIT,1,5,4125.0,2075000.0,503.030303030303,1928,40.717801,-73.946625,301
3-5912-43-2021-01-08-1275000,2021-01-08,2021,Brooklyn,BAY RIDGE,Retail,22 STORE BUILDINGS,2,5,5025.0,1275000.0,253.73134328358208,1931,40.627182,-74.014399,310
1-2152-70-2021-01-08-6000000,2021-01-08,2021,Manhattan,WASHINGTON HEIGHTS UPPER,Retail,22 STORE BUILDINGS,2,2,20800.0,6000000.0,288.46153846153845,1900,40.848379,-73.931513,112
1-874-16-2021-01-08-19500000,2021-01-08,2021,Manhattan,GRAMERCY,Retail,22 STORE BUILDINGS,1,3,7429.0,19500000.0,2624.84856642886,1920,40.736556,-73.986909,105
1-888-51-2021-01-08-9000000,2021-01-08,2021,Manhattan,MURRAY HILL,Other commercial,29 COMMERCIAL GARAGES,2,2,27800.0,9000000.0,323.7410071942446,1925,40.745561,-73.979819,106
2-3165-38-2021-01-11-6750000,2021-01-11,2021,Bronx,FORDHAM,Retail,22 STORE BUILDINGS,1,1,9000.0,6750000.0,750.0,1925,40.86096,-73.897958,205
3-3335-6-2021-01-11-1490000,2021-01-11,2021,Brooklyn,BUSHWICK,Other commercial,14 RENTALS - 4-10 UNIT,1,5,3300.0,1490000.0,451.5151515151515,1931,40.697103,-73.915331,304
3-1758-46-2021-01-12-1310000,2021-01-12,2021,Brooklyn,BEDFORD STUYVESANT,Other commercial,14 RENTALS - 4-10 UNIT,2,5,4322.0,1310000.0,303.1004164738547,1931,40.694529,-73.949049,303
3-5634-35-2021-01-12-1775000,2021-01-12,2021,Brooklyn,BOROUGH PARK,Other commercial,14 RENTALS - 4-10 UNIT,1,4,3600.0,1775000.0,493.05555555555554,1977,40.636043,-73.992318,312
3-7857-1-2021-01-12-825000,2021-01-12,2021,Brooklyn,OLD MILL BASIN,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2379.0,825000.0,346.7843631778058,1965,40.622301,-73.917566,318
3-842-10-2021-01-12-3450000,2021-01-12,2021,Brooklyn,SUNSET PARK,Other commercial,14 RENTALS - 4-10 UNIT,3,7,4334.0,3450000.0,796.031379787725,1931,40.638996,-74.009487,307
4-13569-31-2021-01-12-405000,2021-01-12,2021,Queens,ROSEDALE,Retail,22 STORE BUILDINGS,2,2,2600.0,405000.0,155.76923076923077,1957,,,
4-187-9-2021-01-12-3825000,2021-01-12,2021,Queens,SUNNYSIDE,Industrial,30 WAREHOUSES,1,1,7000.0,3825000.0,546.4285714285714,1971,40.747149,-73.925514,402
4-3610-9-2021-01-12-2700000,2021-01-12,2021,Queens,RIDGEWOOD,Retail,22 STORE BUILDINGS,1,1,20000.0,2700000.0,135.0,1930,40.710229,-73.899278,405
4-4197-36-2021-01-12-1380000,2021-01-12,2021,Queens,COLLEGE POINT,Other commercial,35 INDOOR PUBLIC AND CULTURAL FACILITIES,1,1,3200.0,1380000.0,431.25,1955,40.7795,-73.846073,407
4-676-20-2021-01-12-7250000,2021-01-12,2021,Queens,ASTORIA,Other commercial,07 RENTALS - WALKUP APARTMENTS,2,18,11996.0,7250000.0,604.3681227075692,1927,40.757502,-73.920182,401
4-676-22-2021-01-12-7250000,2021-01-12,2021,Queens,ASTORIA,Other commercial,07 RENTALS - WALKUP APARTMENTS,2,18,11996.0,7250000.0,604.3681227075692,1923,40.757532,-73.920156,401
3-4626-32-2021-01-13-975000,2021-01-13,2021,Brooklyn,FLATBUSH-NORTH,Other commercial,14 RENTALS - 4-10 UNIT,1,6,1878.0,975000.0,519.1693290734825,1929,40.658081,-73.924813,317
3-4697-15-2021-01-13-999500,2021-01-13,2021,Brooklyn,FLATBUSH-EAST,Other commercial,01 ONE FAMILY DWELLINGS,1,2,2020.0,999500.0,494.8019801980198,1931,40.651223,-73.930338,317
3-885-5-2021-01-13-7850000,2021-01-13,2021,Brooklyn,SUNSET PARK,Retail,22 STORE BUILDINGS,2,10,23400.0,7850000.0,335.47008547008545,1930,40.662382,-73.992333,307
1-1522-37-2021-01-13-6650000,2021-01-13,2021,Manhattan,UPPER EAST SIDE (79-96),Other commercial,07 RENTALS - WALKUP APARTMENTS,1,17,8216.0,6650000.0,809.396299902629,1905,40.783613,-73.950497,108
3-151-9-2021-01-14-5800000,2021-01-14,2021,Brooklyn,DOWNTOWN-FULTON MALL,Retail,22 STORE BUILDINGS,2,2,1490.0,5800000.0,3892.6174496644294,1920,40.691344,-73.98704,302
3-2924-19-2021-01-14-4900000,2021-01-14,2021,Brooklyn,WILLIAMSBURG-EAST,Retail,22 STORE BUILDINGS,1,1,10400.0,4900000.0,471.15384615384613,1991,40.713755,-73.935987,301
3-4148-1-2021-01-14-1110000,2021-01-14,2021,Brooklyn,CYPRESS HILLS,Other commercial,29 COMMERCIAL GARAGES,1,1,1867.0,1110000.0,594.5366898768077,1930,40.682355,-73.870804,305
3-448-1-2021-01-14-2830000,2021-01-14,2021,Brooklyn,GOWANUS,Other commercial,14 RENTALS - 4-10 UNIT,1,4,3300.0,2830000.0,857.5757575757576,1899,40.67717,-73.986235,306
1-406-24-2021-01-14-2125000,2021-01-14,2021,Manhattan,ALPHABET CITY,Other commercial,32 HOSPITAL AND HEALTH FACILITIES,1,1,6681.0,2125000.0,318.06615776081424,1965,40.729202,-73.979636,103
5-1498-15-2021-01-14-500000,2021-01-14,2021,Staten Island,BULLS HEAD,Office,21 OFFICE BUILDINGS,1,1,2200.0,500000.0,227.27272727272728,1931,40.616619,-74.156584,501
2-5039-1-2021-01-15-2265000,2021-01-15,2021,Bronx,WAKEFIELD,Retail,22 STORE BUILDINGS,6,6,5600.0,2265000.0,404.4642857142857,1930,40.896887,-73.855463,212
3-6007-3-2021-01-15-995000,2021-01-15,2021,Brooklyn,BAY RIDGE,Other commercial,02 TWO FAMILY DWELLINGS,1,3,3160.0,995000.0,314.873417721519,1945,40.625582,-74.029662,310
3-8141-88-2021-01-15-773000,2021-01-15,2021,Brooklyn,CANARSIE,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2340.0,773000.0,330.34188034188037,1920,40.644321,-73.908393,318
3-8772-27-2021-01-15-975000,2021-01-15,2021,Brooklyn,SHEEPSHEAD BAY,Retail,22 STORE BUILDINGS,1,1,1836.0,975000.0,531.0457516339869,1990,40.585344,-73.949971,315
1-1982-5-2021-01-15-3720000,2021-01-15,2021,Manhattan,HARLEM-WEST,Other commercial,08 RENTALS - ELEVATOR APARTMENTS,4,47,29436.0,3720000.0,126.37586628618018,1926,40.814137,-73.956916,109
4-13492-2-2021-01-15-850000,2021-01-15,2021,Queens,ROSEDALE,Retail,22 STORE BUILDINGS,4,4,8600.0,850000.0,98.83720930232558,1930,40.665445,-73.755072,413
4-1641-1-2021-01-15-86547452,2021-01-15,2021,Queens,EAST ELMHURST,Hotel,26 OTHER HOTELS,436,436,261267.0,86547452.0,331.26055720776066,1981,40.768801,-73.868315,403
4-6914-25-2021-01-15-1010000,2021-01-15,2021,Queens,FLUSHING-SOUTH,Other commercial,01 ONE FAMILY DWELLINGS,1,2,2198.0,1010000.0,459.50864422202,1949,40.736158,-73.796525,408
4-4077-40-2021-01-16-980000,2021-01-16,2021,Queens,COLLEGE POINT,Other commercial,02 TWO FAMILY DWELLINGS,1,3,3261.0,980000.0,300.5213124808341,1930,40.784853,-73.846581,407
3-5153-7-2021-01-18-1995000,2021-01-18,2021,Brooklyn,FLATBUSH-CENTRAL,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2749.0,1995000.0,725.7184430702074,1915,40.639366,-73.968526,314
5-215-41-2021-01-18-1010000,2021-01-18,2021,Staten Island,WEST NEW BRIGHTON,Other commercial,29 COMMERCIAL GARAGES,1,1,1500.0,1010000.0,673.3333333333334,1950,40.633518,-74.125898,501
2-4449-60-2021-01-19-5000000,2021-01-19,2021,Bronx,PELHAM PARKWAY NORTH,Retail,22 STORE BUILDINGS,9,9,14800.0,5000000.0,337.8378378378378,1950,40.861316,-73.857576,211
3-1048-40-2021-01-19-2999900,2021-01-19,2021,Brooklyn,PARK SLOPE SOUTH,Other commercial,02 TWO FAMILY DWELLINGS,1,3,5875.0,2999900.0,510.6212765957447,2012,40.6641,-73.987236,307
4-1317-73-2021-01-19-1350000,2021-01-19,2021,Queens,WOODSIDE,Other commercial,02 TWO FAMILY DWELLINGS,1,3,4216.0,1350000.0,320.2087286527514,1931,40.7448,-73.910363,402
4-135-3-2021-01-19-1225000,2021-01-19,2021,Queens,SUNNYSIDE,Other commercial,14 RENTALS - 4-10 UNIT,1,5,2826.0,1225000.0,433.4748761500354,1928,40.744667,-73.91626,402
5-2397-245-2021-01-19-1289000,2021-01-19,2021,Staten Island,NEW SPRINGVILLE,Other commercial,02 TWO FAMILY DWELLINGS,1,3,4612.0,1289000.0,279.4882914137034,1983,40.584752,-74.160232,502
5-5348-57-2021-01-19-580000,2021-01-19,2021,Staten Island,ELTINGVILLE,Other commercial,01 ONE FAMILY DWELLINGS,1,2,1947.0,580000.0,297.89419619928094,1965,40.534681,-74.154737,503
2-3321-47-2021-01-20-630000,2021-01-20,2021,Bronx,BEDFORD PARK/NORWOOD,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2487.0,630000.0,253.31724969843185,1899,40.874403,-73.887878,207
3-2096-35-2021-01-20-2700000,2021-01-20,2021,Brooklyn,FORT GREENE,Other commercial,34 THEATRES,1,1,2100.0,2700000.0,1285.7142857142858,1925,40.689301,-73.977853,302
3-3837-50-2021-01-20-1215000,2021-01-20,2021,Brooklyn,EAST NEW YORK,Other commercial,07 RENTALS - WALKUP APARTMENTS,2,6,3280.0,1215000.0,370.4268292682927,1930,40.661926,-73.895307,305
3-4033-26-2021-01-20-600000,2021-01-20,2021,Brooklyn,EAST NEW YORK,Other commercial,02 TWO FAMILY DWELLINGS,1,3,3000.0,600000.0,200.0,1920,40.672094,-73.882987,305
4-5131-40-2021-01-20-2200000,2021-01-20,2021,Queens,FLUSHING-NORTH,Other commercial,02 TWO FAMILY DWELLINGS,1,3,3036.0,2200000.0,724.6376811594203,1950,40.748851,-73.825922,407
4-5131-41-2021-01-20-2200000,2021-01-20,2021,Queens,FLUSHING-NORTH,Office,21 OFFICE BUILDINGS,3,3,3350.0,2200000.0,656.7164179104477,1961,40.748837,-73.825926,407
4-539-127-2021-01-20-1550000,2021-01-20,2021,Queens,ASTORIA,Other commercial,02 TWO FAMILY DWELLINGS,1,3,7600.0,1550000.0,203.94736842105263,1930,40.772251,-73.927186,401
5-1077-52-2021-01-20-585000,2021-01-20,2021,Staten Island,PORT RICHMOND,Retail,22 STORE BUILDINGS,3,3,6431.0,585000.0,90.9656352044783,1931,40.637665,-74.133617,501
3-2272-9-2021-01-21-4000000,2021-01-21,2021,Brooklyn,WILLIAMSBURG-EAST,Other commercial,29 COMMERCIAL GARAGES,1,1,5000.0,4000000.0,800.0,1968,40.700904,-73.94679,301
3-3826-21-2021-01-21-11518500,2021-01-21,2021,Brooklyn,EAST NEW YORK,Other commercial,33 EDUCATIONAL FACILITIES,1,1,28000.0,11518500.0,411.375,1970,40.665283,-73.890432,305
3-4127-63-2021-01-21-250000,2021-01-21,2021,Brooklyn,CYPRESS HILLS,Other commercial,02 TWO FAMILY DWELLINGS,1,3,3200.0,250000.0,78.125,1920,40.682495,-73.876284,305
3-5867-30-2021-01-21-1400000,2021-01-21,2021,Brooklyn,BAY RIDGE,Retail,22 STORE BUILDINGS,1,1,2300.0,1400000.0,608.695652173913,1931,40.630737,-74.014515,310
1-90-1001-2021-01-21-41038000,2021-01-21,2021,Manhattan,SOUTHBRIDGE,Other commercial,11 SPECIAL CONDO BILLING LOTS,3,23,97919.0,41038000.0,419.1015022620738,0,40.711508,-74.007679,101
1-90-22-2021-01-21-994000,2021-01-21,2021,Manhattan,SOUTHBRIDGE,Other commercial,41 TAX CLASS 4 - OTHER,1,1,2073.0,994000.0,479.4983116256633,2001,40.710877,-74.007856,101
4-16211-23-2021-01-21-2700000,2021-01-21,2021,Queens,BELLE HARBOR,Office,21 OFFICE BUILDINGS,3,3,4684.0,2700000.0,576.4304013663535,1982,40.578502,-73.84947,414
4-1909-31-2021-01-21-1775000,2021-01-21,2021,Queens,CORONA,Retail,22 STORE BUILDINGS,5,5,4175.0,1775000.0,425.1497005988024,1969,40.739451,-73.860622,404
4-4752-12-2021-01-21-1100000,2021-01-21,2021,Queens,WHITESTONE,Other commercial,01 ONE FAMILY DWELLINGS,1,2,2560.0,1100000.0,429.6875,1955,40.779886,-73.805621,407
5-5497-101-2021-01-21-2465000,2021-01-21,2021,Staten Island,GREAT KILLS,Retail,22 STORE BUILDINGS,1,1,3569.0,2465000.0,690.6696553656486,2016,40.543833,-74.163663,503
5-5497-150-2021-01-21-2465000,2021-01-21,2021,Staten Island,GREAT KILLS,Retail,22 STORE BUILDINGS,6,6,10800.0,2465000.0,228.24074074074073,2005,40.544065,-74.165056,503
5-6145-13-2021-01-21-8712000,2021-01-21,2021,Staten Island,ROSSVILLE,Retail,22 STORE BUILDINGS,7,7,15279.0,8712000.0,570.194384449244,2013,40.541857,-74.206175,503
5-6145-16-2021-01-21-8712000,2021-01-21,2021,Staten Island,ROSSVILLE,Retail,22 STORE BUILDINGS,9,9,21828.0,8712000.0,399.12039582188015,2013,40.541743,-74.207139,503
5-6145-300-2021-01-21-16900000,2021-01-21,2021,Staten Island,ROSSVILLE,Retail,22 STORE BUILDINGS,1,1,34349.0,16900000.0,492.00850097528314,1984,40.5426,-74.208333,503
5-6145-40-2021-01-21-16900000,2021-01-21,2021,Staten Island,ROSSVILLE,Retail,22 STORE BUILDINGS,9,9,18717.0,16900000.0,902.9224768926645,1983,40.542358,-74.208238,503
5-6585-24-2021-01-21-758000,2021-01-21,2021,Staten Island,HUGUENOT,Retail,22 STORE BUILDINGS,1,3,4185.0,758000.0,181.1230585424134,2007,40.530985,-74.192126,503
3-1952-39-2021-01-22-1160000,2021-01-22,2021,Brooklyn,CLINTON HILL,Other commercial,29 COMMERCIAL GARAGES,1,1,1000.0,1160000.0,1160.0,1992,40.687589,-73.959759,302
3-5048-7-2021-01-22-721000,2021-01-22,2021,Brooklyn,FLATBUSH-LEFFERTS GARDEN,Other commercial,14 RENTALS - 4-10 UNIT,1,5,3500.0,721000.0,206.0,1925,40.65606,-73.959959,309
3-6210-39-2021-01-22-1650000,2021-01-22,2021,Brooklyn,DYKER HEIGHTS,Other commercial,02 TWO FAMILY DWELLINGS,1,3,4400.0,1650000.0,375.0,1931,40.620796,-74.006931,310
3-6660-51-2021-01-22-1700000,2021-01-22,2021,Brooklyn,OCEAN PARKWAY-NORTH,Other commercial,02 TWO FAMILY DWELLINGS,1,3,1200.0,1700000.0,1416.6666666666667,1931,40.604474,-73.969828,315
3-7247-191-2021-01-22-1000000,2021-01-22,2021,Brooklyn,CONEY ISLAND,Other commercial,29 COMMERCIAL GARAGES,1,1,2700.0,1000000.0,370.3703703703704,1931,40.580734,-73.982223,313
3-8035-23-2021-01-22-3050000,2021-01-22,2021,Brooklyn,CANARSIE,Other commercial,32 HOSPITAL AND HEALTH FACILITIES,1,1,18900.0,3050000.0,161.37566137566137,1975,40.634497,-73.908356,318
3-8035-57-2021-01-22-3050000,2021-01-22,2021,Brooklyn,CANARSIE,Other commercial,32 HOSPITAL AND HEALTH FACILITIES,1,1,4500.0,3050000.0,677.7777777777778,2001,40.634881,-73.907581,318
1-1085-36-2021-01-22-26750000,2021-01-22,2021,Manhattan,CLINTON,Office,21 OFFICE BUILDINGS,1,1,23923.0,26750000.0,1118.1707979768423,1913,40.769249,-73.988895,104
4-1909-32-2021-01-22-1975000,2021-01-22,2021,Queens,CORONA,Retail,22 STORE BUILDINGS,2,2,3913.0,1975000.0,504.7278303092257,1969,40.739451,-73.860622,404
4-4408-37-2021-01-22-7745625,2021-01-22,2021,Queens,FLUSHING-NORTH,Hotel,26 OTHER HOTELS,1,1,14786.0,7745625.0,523.8485729744352,2012,40.768927,-73.832415,407
4-9620-40-2021-01-22-6500000,2021-01-22,2021,Queens,JAMAICA,Retail,22 STORE BUILDINGS,1,1,2400.0,6500000.0,2708.3333333333335,1987,40.702542,-73.814246,412
4-9905-23-2021-01-22-162755,2021-01-22,2021,Queens,HOLLIS,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2520.0,162755.0,64.58531746031746,1934,40.709324,-73.775283,412
5-7578-44-2021-01-22-400000,2021-01-22,2021,Staten Island,ROSSVILLE-RICHMOND VALLEY,Retail,22 STORE BUILDINGS,1,1,807.0,400000.0,495.6629491945477,1997,40.522541,-74.234941,503
2-3844-124-2021-01-25-2205000,2021-01-25,2021,Bronx,WESTCHESTER,Industrial,30 WAREHOUSES,2,2,4914.0,2205000.0,448.71794871794873,1985,40.83539,-73.843425,210
2-3844-128-2021-01-25-2205000,2021-01-25,2021,Bronx,WESTCHESTER,Industrial,30 WAREHOUSES,1,1,2436.0,2205000.0,905.1724137931035,1997,40.835739,-73.843948,210
3-5873-15-2021-01-25-998000,2021-01-25,2021,Brooklyn,BAY RIDGE,Other commercial,14 RENTALS - 4-10 UNIT,1,4,3300.0,998000.0,302.42424242424244,1931,40.634306,-74.022864,310
4-3667-391-2021-01-25-1150000,2021-01-25,2021,Queens,GLENDALE,Industrial,30 WAREHOUSES,1,1,1000.0,1150000.0,1150.0,1931,40.711058,-73.879059,405
5-300-93-2021-01-25-750000,2021-01-25,2021,Staten Island,CLOVE LAKES,Office,21 OFFICE BUILDINGS,2,4,2120.0,750000.0,353.77358490566036,1960,40.629406,-74.112662,501
2-2266-5-2021-01-27-5000000,2021-01-27,2021,Bronx,MOTT HAVEN/PORT MORRIS,Other commercial,07 RENTALS - WALKUP APARTMENTS,5,30,23329.0,5000000.0,214.325517596125,1915,40.808012,-73.91894,201
2-2479-19-2021-01-27-6000000,2021-01-27,2021,Bronx,MELROSE/CONCOURSE,Retail,22 STORE BUILDINGS,6,6,10000.0,6000000.0,600.0,1920,40.835054,-73.920367,204
2-3814-42-2021-01-27-400000,2021-01-27,2021,Bronx,WESTCHESTER,Retail,22 STORE BUILDINGS,2,2,2050.0,400000.0,195.1219512195122,1930,40.834109,-73.852455,209
3-1657-4-2021-01-27-2120000,2021-01-27,2021,Brooklyn,BEDFORD STUYVESANT,Other commercial,14 RENTALS - 4-10 UNIT,1,5,4983.0,2120000.0,425.44651816174996,1910,40.685181,-73.929491,303
3-2384-15-2021-01-27-2550000,2021-01-27,2021,Brooklyn,WILLIAMSBURG-NORTH,Retail,22 STORE BUILDINGS,1,1,7665.0,2550000.0,332.68101761252444,1920,40.713059,-73.955473,301
3-2539-20-2021-01-27-4850000,2021-01-27,2021,Brooklyn,GREENPOINT,Other commercial,14 RENTALS - 4-10 UNIT,1,7,8314.0,4850000.0,583.3533798412317,1931,40.731545,-73.957878,301
3-5605-11-2021-01-27-600000,2021-01-27,2021,Brooklyn,BOROUGH PARK,Other commercial,02 TWO FAMILY DWELLINGS,1,3,3000.0,600000.0,200.0,1901,40.638066,-73.98811,312
3-7092-6-2021-01-27-1700000,2021-01-27,2021,Brooklyn,GRAVESEND,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2318.0,1700000.0,733.390854184642,1931,40.59798,-73.984959,311
3-7092-7-2021-01-27-1700000,2021-01-27,2021,Brooklyn,GRAVESEND,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2318.0,1700000.0,733.390854184642,1931,40.597986,-73.984894,311
3-1480-17-2021-01-28-2970000,2021-01-28,2021,Brooklyn,OCEAN HILL,Office,21 OFFICE BUILDINGS,1,1,8400.0,2970000.0,353.57142857142856,1952,40.689335,-73.923379,303
3-2418-25-2021-01-28-2230000,2021-01-28,2021,Brooklyn,WILLIAMSBURG-SOUTH,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2021.0,2230000.0,1103.414151410193,1920,40.712566,-73.960664,301
3-8180-9-2021-01-28-560000,2021-01-28,2021,Brooklyn,CANARSIE,Other commercial,01 ONE FAMILY DWELLINGS,1,2,1920.0,560000.0,291.6666666666667,1920,40.641224,-73.904456,318
4-458-90-2021-01-28-8050000,2021-01-28,2021,Queens,LONG ISLAND CITY,Other commercial,27 FACTORIES,1,1,19250.0,8050000.0,418.1818181818182,1925,40.752395,-73.946326,402
2-3320-4-2021-01-29-825000,2021-01-29,2021,Bronx,BEDFORD PARK/NORWOOD,Other commercial,14 RENTALS - 4-10 UNIT,2,4,3150.0,825000.0,261.9047619047619,1931,40.872774,-73.889631,207
2-5046-10-2021-01-29-300000,2021-01-29,2021,Bronx,WAKEFIELD,Retail,22 STORE BUILDINGS,2,2,2439.0,300000.0,123.00123001230013,1931,40.897548,-73.855002,212
3-6858-64-2021-01-29-2200000,2021-01-29,2021,Brooklyn,BENSONHURST,Retail,22 STORE BUILDINGS,2,2,2450.0,2200000.0,897.9591836734694,1930,40.599998,-73.990619,311
3-7021-46-2021-01-29-550000,2021-01-29,2021,Brooklyn,CONEY ISLAND,Other commercial,14 RENTALS - 4-10 UNIT,1,4,4600.0,550000.0,119.56521739130434,1920,40.576727,-73.983934,313
4-12188-1-2021-01-29-1850000,2021-01-29,2021,Queens,SO. JAMAICA-BAISLEY PARK,Other commercial,33 EDUCATIONAL FACILITIES,1,1,6900.0,1850000.0,268.1159420289855,1931,40.68439,-73.79263,412
4-3522-31-2021-01-29-999900,2021-01-29,2021,Queens,RIDGEWOOD,Retail,22 STORE BUILDINGS,1,1,2910.0,999900.0,343.6082474226804,1925,40.711495,-73.899987,405
4-3539-48-2021-01-29-1950000,2021-01-29,2021,Queens,RIDGEWOOD,Retail,22 STORE BUILDINGS,2,3,4632.0,1950000.0,420.98445595854923,1920,40.695364,-73.903682,405
4-656-61-2021-01-29-3300000,2021-01-29,2021,Queens,ASTORIA,Retail,22 STORE BUILDINGS,1,1,7750.0,3300000.0,425.80645161290323,1930,40.757458,-73.920243,401
4-7305-11-2021-01-29-9650000,2021-01-29,2021,Queens,BAYSIDE,Retail,22 STORE BUILDINGS,1,1,14250.0,9650000.0,677.1929824561404,1929,40.758503,-73.776283,411
4-9204-49-2021-01-29-1580000,2021-01-29,2021,Queens,RICHMOND HILL,Other commercial,02 TWO FAMILY DWELLINGS,1,3,4960.0,1580000.0,318.5483870967742,1910,40.695652,-73.839325,409
5-1255-39-2021-01-29-485000,2021-01-29,2021,Staten Island,MARINERS HARBOR,Other commercial,29 COMMERCIAL GARAGES,1,1,300.0,485000.0,1616.6666666666667,1931,40.636136,-74.165064,501
5-1255-41-2021-01-29-485000,2021-01-29,2021,Staten Island,MARINERS HARBOR,Office,21 OFFICE BUILDINGS,1,1,1520.0,485000.0,319.07894736842104,1932,40.636186,-74.165064,501
4-1860-102-2021-01-30-18120000,2021-01-30,2021,Queens,ELMHURST,Retail,22 STORE BUILDINGS,1,1,202383.0,18120000.0,89.53321178162197,2004,40.734273,-73.868744,404
5-2400-210-2021-01-30-9110000,2021-01-30,2021,Staten Island,NEW SPRINGVILLE,Retail,22 STORE BUILDINGS,1,1,179200.0,9110000.0,50.83705357142857,1993,40.580505,-74.163098,502
3-172-5-2021-02-01-45000000,2021-02-01,2021,Brooklyn,DOWNTOWN-FULTON MALL,Hotel,25 LUXURY HOTELS,1,1,165534.0,45000000.0,271.84747544311136,2017,40.687864,-73.984181,302
4-678-16-2021-02-01-4464000,2021-02-01,2021,Queens,ASTORIA,Retail,22 STORE BUILDINGS,3,3,5624.0,4464000.0,793.7411095305832,1926,40.759993,-73.918157,401
3-3284-27-2021-02-02-700000,2021-02-02,2021,Brooklyn,BUSHWICK,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2130.0,700000.0,328.63849765258215,1931,40.693861,-73.923648,304
3-3284-28-2021-02-02-950000,2021-02-02,2021,Brooklyn,BUSHWICK,Other commercial,02 TWO FAMILY DWELLINGS,1,3,2130.0,950000.0,446.0093896713615,1931,40.693823,-73.923687,304
