city,date,service_family,requests
Chicago,2022-01-18,noise,725
Chicago,2022-01-18,other,133
Chicago,2022-01-18,sanitation,502
Chicago,2022-01-18,transport_public_realm,684
Chicago,2022-01-19,housing_buildings,176
Chicago,2022-01-19,information_administration,3115
Chicago,2022-01-19,noise,426
Chicago,2022-01-19,other,109
Chicago,2022-01-19,sanitation,439
Chicago,2022-01-19,transport_public_realm,618
Chicago,2022-01-20,housing_buildings,179
Chicago,2022-01-20,information_administration,2573
Chicago,2022-01-20,noise,584
Chicago,2022-01-20,other,126
Chicago,2022-01-20,sanitation,399
Chicago,2022-01-20,transport_public_realm,498
Chicago,2022-01-21,housing_buildings,179
Chicago,2022-01-21,information_administration,2581
Chicago,2022-01-21,noise,842
Chicago,2022-01-21,other,132
Chicago,2022-01-21,sanitation,328
Chicago,2022-01-21,transport_public_realm,739
Chicago,2022-01-22,housing_buildings,99
Chicago,2022-01-22,information_administration,1870
Chicago,2022-01-22,noise,1117
Chicago,2022-01-22,other,101
Chicago,2022-01-22,sanitation,155
Chicago,2022-01-22,transport_public_realm,276
Chicago,2022-01-23,housing_buildings,82
Chicago,2022-01-23,information_administration,1989
Chicago,2022-01-23,noise,911
Chicago,2022-01-23,other,57
Chicago,2022-01-23,sanitation,89
Chicago,2022-01-23,transport_public_realm,449
Chicago,2022-01-24,housing_buildings,187
Chicago,2022-01-24,information_administration,3486
Chicago,2022-01-24,noise,473
Chicago,2022-01-24,other,79
Chicago,2022-01-24,sanitation,293
Chicago,2022-01-24,transport_public_realm,756
Chicago,2022-01-25,housing_buildings,186
Chicago,2022-01-25,information_administration,3194
Chicago,2022-01-25,noise,368
Chicago,2022-01-25,other,87
Chicago,2022-01-25,sanitation,284
Chicago,2022-01-25,transport_public_realm,791
Chicago,2022-01-26,housing_buildings,291
Chicago,2022-01-26,information_administration,3088
Chicago,2022-01-26,noise,322
Chicago,2022-01-26,other,107
Chicago,2022-01-26,sanitation,293
Chicago,2022-01-26,transport_public_realm,694
Chicago,2022-01-27,housing_buildings,267
Chicago,2022-01-27,information_administration,2753
Chicago,2022-01-27,noise,642
Chicago,2022-01-27,other,118
Chicago,2022-01-27,sanitation,531
Chicago,2022-01-27,transport_public_realm,813
Chicago,2022-01-28,housing_buildings,214
Chicago,2022-01-28,information_administration,2988
Chicago,2022-01-28,noise,447
Chicago,2022-01-28,other,103
Chicago,2022-01-28,sanitation,250
Chicago,2022-01-28,transport_public_realm,552
Chicago,2022-01-29,housing_buildings,144
Chicago,2022-01-29,information_administration,1705
Chicago,2022-01-29,noise,335
Chicago,2022-01-29,other,69
Chicago,2022-01-29,sanitation,104
Chicago,2022-01-29,transport_public_realm,347
Chicago,2022-01-30,housing_buildings,92
Chicago,2022-01-30,information_administration,1801
Chicago,2022-01-30,noise,712
Chicago,2022-01-30,other,58
Chicago,2022-01-30,sanitation,121
Chicago,2022-01-30,transport_public_realm,368
Chicago,2022-01-31,housing_buildings,298
Chicago,2022-01-31,information_administration,2987
Chicago,2022-01-31,noise,480
Chicago,2022-01-31,other,106
Chicago,2022-01-31,sanitation,417
Chicago,2022-01-31,transport_public_realm,835
Chicago,2022-02-01,housing_buildings,245
Chicago,2022-02-01,information_administration,3292
Chicago,2022-02-01,noise,520
Chicago,2022-02-01,other,116
Chicago,2022-02-01,sanitation,362
Chicago,2022-02-01,transport_public_realm,999
Chicago,2022-02-02,housing_buildings,169
Chicago,2022-02-02,information_administration,3185
Chicago,2022-02-02,noise,248
Chicago,2022-02-02,other,48
Chicago,2022-02-02,sanitation,176
Chicago,2022-02-02,transport_public_realm,455
Chicago,2022-02-03,housing_buildings,162
Chicago,2022-02-03,information_administration,4202
Chicago,2022-02-03,noise,380
Chicago,2022-02-03,other,64
Chicago,2022-02-03,sanitation,227
Chicago,2022-02-03,transport_public_realm,908
Chicago,2022-02-04,housing_buildings,163
Chicago,2022-02-04,information_administration,3388
Chicago,2022-02-04,noise,350
Chicago,2022-02-04,other,62
Chicago,2022-02-04,sanitation,297
Chicago,2022-02-04,transport_public_realm,936
Chicago,2022-02-05,housing_buildings,94
Chicago,2022-02-05,information_administration,2024
Chicago,2022-02-05,noise,373
Chicago,2022-02-05,other,61
Chicago,2022-02-05,sanitation,112
Chicago,2022-02-05,transport_public_realm,483
Chicago,2022-02-06,housing_buildings,96
Chicago,2022-02-06,information_administration,1725
Chicago,2022-02-06,noise,517
Chicago,2022-02-06,other,47
Chicago,2022-02-06,sanitation,101
Chicago,2022-02-06,transport_public_realm,484
Chicago,2022-02-07,housing_buildings,206
Chicago,2022-02-07,information_administration,2827
Chicago,2022-02-07,noise,649
Chicago,2022-02-07,other,73
Chicago,2022-02-07,sanitation,324
Chicago,2022-02-07,transport_public_realm,1037
Chicago,2022-02-08,housing_buildings,188
Chicago,2022-02-08,information_administration,3299
Chicago,2022-02-08,noise,561
Chicago,2022-02-08,other,80
Chicago,2022-02-08,sanitation,318
Chicago,2022-02-08,transport_public_realm,931
Chicago,2022-02-09,housing_buildings,260
Chicago,2022-02-09,information_administration,3072
Chicago,2022-02-09,noise,630
Chicago,2022-02-09,other,88
Chicago,2022-02-09,sanitation,339
Chicago,2022-02-09,transport_public_realm,915
Chicago,2022-02-10,housing_buildings,174
Chicago,2022-02-10,information_administration,2946
Chicago,2022-02-10,noise,876
Chicago,2022-02-10,other,86
Chicago,2022-02-10,sanitation,304
Chicago,2022-02-10,transport_public_realm,1040
Chicago,2022-02-11,housing_buildings,185
Chicago,2022-02-11,information_administration,2741
Chicago,2022-02-11,noise,741
Chicago,2022-02-11,other,79
Chicago,2022-02-11,sanitation,282
Chicago,2022-02-11,transport_public_realm,914
Chicago,2022-02-12,housing_buildings,87
Chicago,2022-02-12,information_administration,1901
Chicago,2022-02-12,noise,638
Chicago,2022-02-12,other,52
Chicago,2022-02-12,sanitation,111
Chicago,2022-02-12,transport_public_realm,418
Chicago,2022-02-13,housing_buildings,58
Chicago,2022-02-13,information_administration,1427
Chicago,2022-02-13,noise,522
Chicago,2022-02-13,other,47
Chicago,2022-02-13,sanitation,87
Chicago,2022-02-13,transport_public_realm,315
Chicago,2022-02-14,housing_buildings,172
Chicago,2022-02-14,information_administration,2498
Chicago,2022-02-14,noise,606
Chicago,2022-02-14,other,98
Chicago,2022-02-14,sanitation,335
Chicago,2022-02-14,transport_public_realm,797
Chicago,2022-02-15,housing_buildings,181
Chicago,2022-02-15,information_administration,2489
Chicago,2022-02-15,noise,732
Chicago,2022-02-15,other,87
Chicago,2022-02-15,sanitation,379
Chicago,2022-02-15,transport_public_realm,917
Chicago,2022-02-16,housing_buildings,295
Chicago,2022-02-16,information_administration,2978
Chicago,2022-02-16,noise,1071
Chicago,2022-02-16,other,110
Chicago,2022-02-16,sanitation,495
Chicago,2022-02-16,transport_public_realm,1158
Chicago,2022-02-17,housing_buildings,405
Chicago,2022-02-17,information_administration,3189
Chicago,2022-02-17,noise,457
Chicago,2022-02-17,other,147
Chicago,2022-02-17,sanitation,308
Chicago,2022-02-17,transport_public_realm,1321
Chicago,2022-02-18,housing_buildings,244
Chicago,2022-02-18,information_administration,2670
Chicago,2022-02-18,noise,637
Chicago,2022-02-18,other,75
Chicago,2022-02-18,sanitation,263
Chicago,2022-02-18,transport_public_realm,918
Chicago,2022-02-19,housing_buildings,106
Chicago,2022-02-19,information_administration,1925
Chicago,2022-02-19,noise,571
Chicago,2022-02-19,other,62
Chicago,2022-02-19,sanitation,119
Chicago,2022-02-19,transport_public_realm,557
Chicago,2022-02-20,housing_buildings,91
Chicago,2022-02-20,information_administration,1889
Chicago,2022-02-20,noise,1038
Chicago,2022-02-20,other,54
Chicago,2022-02-20,sanitation,125
Chicago,2022-02-20,transport_public_realm,564
Chicago,2022-02-21,housing_buildings,168
Chicago,2022-02-21,information_administration,2828
Chicago,2022-02-21,noise,1023
Chicago,2022-02-21,other,93
Chicago,2022-02-21,sanitation,366
Chicago,2022-02-21,transport_public_realm,978
Chicago,2022-02-22,housing_buildings,498
Chicago,2022-02-22,information_administration,2579
Chicago,2022-02-22,noise,538
Chicago,2022-02-22,other,104
Chicago,2022-02-22,sanitation,414
Chicago,2022-02-22,transport_public_realm,1575
Chicago,2022-02-23,housing_buildings,428
Chicago,2022-02-23,information_administration,2837
Chicago,2022-02-23,noise,621
Chicago,2022-02-23,other,159
Chicago,2022-02-23,sanitation,421
Chicago,2022-02-23,transport_public_realm,1438
Chicago,2022-02-24,housing_buildings,216
Chicago,2022-02-24,information_administration,2795
Chicago,2022-02-24,noise,647
Chicago,2022-02-24,other,98
Chicago,2022-02-24,sanitation,362
Chicago,2022-02-24,transport_public_realm,1144
Chicago,2022-02-25,housing_buildings,152
Chicago,2022-02-25,information_administration,2874
Chicago,2022-02-25,noise,564
Chicago,2022-02-25,other,67
Chicago,2022-02-25,sanitation,257
Chicago,2022-02-25,transport_public_realm,1218
Chicago,2022-02-26,housing_buildings,180
Chicago,2022-02-26,information_administration,1686
Chicago,2022-02-26,noise,787
Chicago,2022-02-26,other,43
Chicago,2022-02-26,sanitation,118
Chicago,2022-02-26,transport_public_realm,631
Chicago,2022-02-27,housing_buildings,108
Chicago,2022-02-27,information_administration,1811
Chicago,2022-02-27,noise,1241
Chicago,2022-02-27,other,53
Chicago,2022-02-27,sanitation,149
Chicago,2022-02-27,transport_public_realm,594
Chicago,2022-02-28,housing_buildings,251
Chicago,2022-02-28,information_administration,3201
Chicago,2022-02-28,noise,885
Chicago,2022-02-28,other,116
Chicago,2022-02-28,sanitation,415
Chicago,2022-02-28,transport_public_realm,1334
Chicago,2022-03-01,housing_buildings,236
Chicago,2022-03-01,information_administration,3011
Chicago,2022-03-01,noise,1032
Chicago,2022-03-01,other,97
Chicago,2022-03-01,sanitation,578
Chicago,2022-03-01,transport_public_realm,1296
Chicago,2022-03-02,housing_buildings,223
Chicago,2022-03-02,information_administration,3070
Chicago,2022-03-02,noise,794
Chicago,2022-03-02,other,102
Chicago,2022-03-02,sanitation,543
Chicago,2022-03-02,transport_public_realm,1273
Chicago,2022-03-03,housing_buildings,194
Chicago,2022-03-03,information_administration,2590
Chicago,2022-03-03,noise,873
Chicago,2022-03-03,other,93
Chicago,2022-03-03,sanitation,448
Chicago,2022-03-03,transport_public_realm,1205
Chicago,2022-03-04,housing_buildings,207
Chicago,2022-03-04,information_administration,3087
Chicago,2022-03-04,noise,813
Chicago,2022-03-04,other,101
Chicago,2022-03-04,sanitation,397
Chicago,2022-03-04,transport_public_realm,1018
Chicago,2022-03-05,housing_buildings,98
Chicago,2022-03-05,information_administration,2291
Chicago,2022-03-05,noise,959
Chicago,2022-03-05,other,96
Chicago,2022-03-05,sanitation,289
Chicago,2022-03-05,transport_public_realm,661
Chicago,2022-03-06,housing_buildings,90
Chicago,2022-03-06,information_administration,2215
Chicago,2022-03-06,noise,1219
Chicago,2022-03-06,other,150
Chicago,2022-03-06,sanitation,197
Chicago,2022-03-06,transport_public_realm,756
Chicago,2022-03-07,housing_buildings,202
Chicago,2022-03-07,information_administration,2955
Chicago,2022-03-07,noise,741
Chicago,2022-03-07,other,99
Chicago,2022-03-07,sanitation,347
Chicago,2022-03-07,transport_public_realm,767
Chicago,2022-03-08,housing_buildings,254
Chicago,2022-03-08,information_administration,3398
Chicago,2022-03-08,noise,489
Chicago,2022-03-08,other,144
Chicago,2022-03-08,sanitation,520
Chicago,2022-03-08,transport_public_realm,1304
Chicago,2022-03-09,housing_buildings,200
Chicago,2022-03-09,information_administration,3019
Chicago,2022-03-09,noise,578
Chicago,2022-03-09,other,122
Chicago,2022-03-09,sanitation,605
Chicago,2022-03-09,transport_public_realm,1269
Chicago,2022-03-10,housing_buildings,199
Chicago,2022-03-10,information_administration,3401
Chicago,2022-03-10,noise,1143
Chicago,2022-03-10,other,107
Chicago,2022-03-10,sanitation,433
Chicago,2022-03-10,transport_public_realm,1065
Chicago,2022-03-11,housing_buildings,175
Chicago,2022-03-11,information_administration,2907
Chicago,2022-03-11,noise,474
Chicago,2022-03-11,other,95
Chicago,2022-03-11,sanitation,292
Chicago,2022-03-11,transport_public_realm,790
Chicago,2022-03-12,housing_buildings,112
Chicago,2022-03-12,information_administration,2502
Chicago,2022-03-12,noise,499
Chicago,2022-03-12,other,52
Chicago,2022-03-12,sanitation,135
Chicago,2022-03-12,transport_public_realm,369
Chicago,2022-03-13,housing_buildings,84
Chicago,2022-03-13,information_administration,1875
Chicago,2022-03-13,noise,875
Chicago,2022-03-13,other,52
Chicago,2022-03-13,sanitation,164
Chicago,2022-03-13,transport_public_realm,506
Chicago,2022-03-14,housing_buildings,226
Chicago,2022-03-14,information_administration,3288
Chicago,2022-03-14,noise,953
Chicago,2022-03-14,other,157
Chicago,2022-03-14,sanitation,539
Chicago,2022-03-14,transport_public_realm,1244
Chicago,2022-03-15,housing_buildings,204
Chicago,2022-03-15,information_administration,3032
Chicago,2022-03-15,noise,1008
Chicago,2022-03-15,other,126
Chicago,2022-03-15,sanitation,489
Chicago,2022-03-15,transport_public_realm,1287
Chicago,2022-03-16,housing_buildings,203
Chicago,2022-03-16,information_administration,2507
Chicago,2022-03-16,noise,778
Chicago,2022-03-16,other,133
Chicago,2022-03-16,sanitation,567
Chicago,2022-03-16,transport_public_realm,1324
Chicago,2022-03-17,housing_buildings,205
Chicago,2022-03-17,information_administration,2892
Chicago,2022-03-17,noise,1085
Chicago,2022-03-17,other,158
Chicago,2022-03-17,sanitation,519
Chicago,2022-03-17,transport_public_realm,1230
Chicago,2022-03-18,housing_buildings,182
Chicago,2022-03-18,information_administration,2641
Chicago,2022-03-18,noise,762
Chicago,2022-03-18,other,98
Chicago,2022-03-18,sanitation,394
Chicago,2022-03-18,transport_public_realm,1075
Chicago,2022-03-19,housing_buildings,107
Chicago,2022-03-19,information_administration,1815
Chicago,2022-03-19,noise,856
Chicago,2022-03-19,other,50
Chicago,2022-03-19,sanitation,128
Chicago,2022-03-19,transport_public_realm,629
Chicago,2022-03-20,housing_buildings,95
Chicago,2022-03-20,information_administration,1917
Chicago,2022-03-20,noise,1004
Chicago,2022-03-20,other,67
Chicago,2022-03-20,sanitation,229
Chicago,2022-03-20,transport_public_realm,639
Chicago,2022-03-21,housing_buildings,217
Chicago,2022-03-21,information_administration,2972
Chicago,2022-03-21,noise,1111
Chicago,2022-03-21,other,179
Chicago,2022-03-21,sanitation,648
Chicago,2022-03-21,transport_public_realm,1346
Chicago,2022-03-22,housing_buildings,203
Chicago,2022-03-22,information_administration,3115
Chicago,2022-03-22,noise,1018
Chicago,2022-03-22,other,131
Chicago,2022-03-22,sanitation,509
Chicago,2022-03-22,transport_public_realm,1234
Chicago,2022-03-23,housing_buildings,284
Chicago,2022-03-23,information_administration,3012
Chicago,2022-03-23,noise,650
Chicago,2022-03-23,other,124
Chicago,2022-03-23,sanitation,449
Chicago,2022-03-23,transport_public_realm,1428
Chicago,2022-03-24,housing_buildings,345
Chicago,2022-03-24,information_administration,2620
Chicago,2022-03-24,noise,889
Chicago,2022-03-24,other,102
Chicago,2022-03-24,sanitation,489
Chicago,2022-03-24,transport_public_realm,1304
Chicago,2022-03-25,housing_buildings,223
Chicago,2022-03-25,information_administration,2341
Chicago,2022-03-25,noise,1133
Chicago,2022-03-25,other,119
Chicago,2022-03-25,sanitation,391
Chicago,2022-03-25,transport_public_realm,1176
Chicago,2022-03-26,housing_buildings,95
Chicago,2022-03-26,information_administration,1529
Chicago,2022-03-26,noise,812
Chicago,2022-03-26,other,53
Chicago,2022-03-26,sanitation,135
Chicago,2022-03-26,transport_public_realm,564
Chicago,2022-03-27,housing_buildings,71
Chicago,2022-03-27,information_administration,1717
Chicago,2022-03-27,noise,970
Chicago,2022-03-27,other,61
Chicago,2022-03-27,sanitation,141
Chicago,2022-03-27,transport_public_realm,396
Chicago,2022-03-28,housing_buildings,203
Chicago,2022-03-28,information_administration,2876
Chicago,2022-03-28,noise,832
Chicago,2022-03-28,other,110
Chicago,2022-03-28,sanitation,458
Chicago,2022-03-28,transport_public_realm,1337
Chicago,2022-03-29,housing_buildings,207
Chicago,2022-03-29,information_administration,3108
Chicago,2022-03-29,noise,1091
Chicago,2022-03-29,other,124
Chicago,2022-03-29,sanitation,449
Chicago,2022-03-29,transport_public_realm,1088
Chicago,2022-03-30,housing_buildings,352
Chicago,2022-03-30,information_administration,3015
Chicago,2022-03-30,noise,771
Chicago,2022-03-30,other,118
Chicago,2022-03-30,sanitation,508
Chicago,2022-03-30,transport_public_realm,1456
Chicago,2022-03-31,housing_buildings,384
Chicago,2022-03-31,information_administration,2495
Chicago,2022-03-31,noise,832
Chicago,2022-03-31,other,108
Chicago,2022-03-31,sanitation,423
Chicago,2022-03-31,transport_public_realm,1504
Chicago,2022-04-01,housing_buildings,251
Chicago,2022-04-01,information_administration,2540
Chicago,2022-04-01,noise,896
Chicago,2022-04-01,other,110
Chicago,2022-04-01,sanitation,378
Chicago,2022-04-01,transport_public_realm,1300
Chicago,2022-04-02,housing_buildings,84
Chicago,2022-04-02,information_administration,1681
Chicago,2022-04-02,noise,830
Chicago,2022-04-02,other,67
Chicago,2022-04-02,sanitation,147
Chicago,2022-04-02,transport_public_realm,606
Chicago,2022-04-03,housing_buildings,90
Chicago,2022-04-03,information_administration,1777
Chicago,2022-04-03,noise,1052
Chicago,2022-04-03,other,57
Chicago,2022-04-03,sanitation,201
Chicago,2022-04-03,transport_public_realm,726
Chicago,2022-04-04,housing_buildings,271
Chicago,2022-04-04,information_administration,2143
Chicago,2022-04-04,noise,818
Chicago,2022-04-04,other,129
Chicago,2022-04-04,sanitation,524
Chicago,2022-04-04,transport_public_realm,1562
Chicago,2022-04-05,housing_buildings,239
Chicago,2022-04-05,information_administration,2267
Chicago,2022-04-05,noise,1127
Chicago,2022-04-05,other,145
Chicago,2022-04-05,sanitation,490
Chicago,2022-04-05,transport_public_realm,1474
Chicago,2022-04-06,housing_buildings,321
Chicago,2022-04-06,information_administration,2804
Chicago,2022-04-06,noise,1232
Chicago,2022-04-06,other,202
Chicago,2022-04-06,sanitation,427
Chicago,2022-04-06,transport_public_realm,1525
Chicago,2022-04-07,housing_buildings,271
Chicago,2022-04-07,information_administration,3034
Chicago,2022-04-07,noise,1163
Chicago,2022-04-07,other,144
Chicago,2022-04-07,sanitation,452
Chicago,2022-04-07,transport_public_realm,1412
Chicago,2022-04-08,housing_buildings,188
Chicago,2022-04-08,information_administration,2852
Chicago,2022-04-08,noise,1082
Chicago,2022-04-08,other,97
Chicago,2022-04-08,sanitation,382
Chicago,2022-04-08,transport_public_realm,1061
Chicago,2022-04-09,housing_buildings,89
Chicago,2022-04-09,information_administration,1849
Chicago,2022-04-09,noise,1243
Chicago,2022-04-09,other,87
Chicago,2022-04-09,sanitation,132
Chicago,2022-04-09,transport_public_realm,653
Chicago,2022-04-10,housing_buildings,76
Chicago,2022-04-10,information_administration,1854
Chicago,2022-04-10,noise,1105
Chicago,2022-04-10,other,81
Chicago,2022-04-10,sanitation,198
Chicago,2022-04-10,transport_public_realm,586
Chicago,2022-04-11,housing_buildings,239
Chicago,2022-04-11,information_administration,2292
Chicago,2022-04-11,noise,1446
Chicago,2022-04-11,other,175
Chicago,2022-04-11,sanitation,512
Chicago,2022-04-11,transport_public_realm,1180
Chicago,2022-04-12,housing_buildings,275
Chicago,2022-04-12,information_administration,2453
Chicago,2022-04-12,noise,923
Chicago,2022-04-12,other,146
Chicago,2022-04-12,sanitation,496
Chicago,2022-04-12,transport_public_realm,1152
Chicago,2022-04-13,housing_buildings,288
Chicago,2022-04-13,information_administration,2376
Chicago,2022-04-13,noise,975
Chicago,2022-04-13,other,189
Chicago,2022-04-13,sanitation,472
Chicago,2022-04-13,transport_public_realm,1054
Chicago,2022-04-14,housing_buildings,320
Chicago,2022-04-14,information_administration,2347
Chicago,2022-04-14,noise,1492
Chicago,2022-04-14,other,323
Chicago,2022-04-14,sanitation,434
Chicago,2022-04-14,transport_public_realm,1250
Chicago,2022-04-15,housing_buildings,218
Chicago,2022-04-15,information_administration,3288
Chicago,2022-04-15,noise,1246
Chicago,2022-04-15,other,168
Chicago,2022-04-15,sanitation,368
Chicago,2022-04-15,transport_public_realm,908
Chicago,2022-04-16,housing_buildings,112
Chicago,2022-04-16,information_administration,1574
Chicago,2022-04-16,noise,964
Chicago,2022-04-16,other,44
Chicago,2022-04-16,sanitation,202
Chicago,2022-04-16,transport_public_realm,468
Chicago,2022-04-17,housing_buildings,55
Chicago,2022-04-17,information_administration,1622
Chicago,2022-04-17,noise,898
Chicago,2022-04-17,other,51
Chicago,2022-04-17,sanitation,169
Chicago,2022-04-17,transport_public_realm,397
Chicago,2022-04-18,housing_buildings,241
Chicago,2022-04-18,information_administration,2477
Chicago,2022-04-18,noise,657
Chicago,2022-04-18,other,137
Chicago,2022-04-18,sanitation,461
Chicago,2022-04-18,transport_public_realm,1302
Chicago,2022-04-19,housing_buildings,233
Chicago,2022-04-19,information_administration,2769
Chicago,2022-04-19,noise,1065
Chicago,2022-04-19,other,147
Chicago,2022-04-19,sanitation,497
Chicago,2022-04-19,transport_public_realm,1019
Chicago,2022-04-20,housing_buildings,213
Chicago,2022-04-20,information_administration,2573
Chicago,2022-04-20,noise,1230
Chicago,2022-04-20,other,143
Chicago,2022-04-20,sanitation,408
Chicago,2022-04-20,transport_public_realm,1009
Chicago,2022-04-21,housing_buildings,252
Chicago,2022-04-21,information_administration,2730
Chicago,2022-04-21,noise,815
Chicago,2022-04-21,other,152
Chicago,2022-04-21,sanitation,503
Chicago,2022-04-21,transport_public_realm,1131
Chicago,2022-04-22,housing_buildings,238
Chicago,2022-04-22,information_administration,2846
Chicago,2022-04-22,noise,922
Chicago,2022-04-22,other,123
Chicago,2022-04-22,sanitation,356
Chicago,2022-04-22,transport_public_realm,982
Chicago,2022-04-23,housing_buildings,126
Chicago,2022-04-23,information_administration,2474
Chicago,2022-04-23,noise,839
Chicago,2022-04-23,other,116
Chicago,2022-04-23,sanitation,267
Chicago,2022-04-23,transport_public_realm,663
Chicago,2022-04-24,housing_buildings,100
Chicago,2022-04-24,information_administration,2115
Chicago,2022-04-24,noise,1137
Chicago,2022-04-24,other,85
Chicago,2022-04-24,sanitation,199
Chicago,2022-04-24,transport_public_realm,558
Chicago,2022-04-25,housing_buildings,291
Chicago,2022-04-25,information_administration,3085
Chicago,2022-04-25,noise,748
Chicago,2022-04-25,other,172
Chicago,2022-04-25,sanitation,593
Chicago,2022-04-25,transport_public_realm,1180
Chicago,2022-04-26,housing_buildings,267
Chicago,2022-04-26,information_administration,2923
Chicago,2022-04-26,noise,771
Chicago,2022-04-26,other,136
Chicago,2022-04-26,sanitation,555
Chicago,2022-04-26,transport_public_realm,1007
Chicago,2022-04-27,housing_buildings,259
Chicago,2022-04-27,information_administration,2272
Chicago,2022-04-27,noise,1137
Chicago,2022-04-27,other,101
Chicago,2022-04-27,sanitation,467
Chicago,2022-04-27,transport_public_realm,968
Chicago,2022-04-28,housing_buildings,210
Chicago,2022-04-28,information_administration,2685
Chicago,2022-04-28,noise,1146
Chicago,2022-04-28,other,126
Chicago,2022-04-28,sanitation,478
Chicago,2022-04-28,transport_public_realm,1081
Chicago,2022-04-29,housing_buildings,227
Chicago,2022-04-29,information_administration,2653
Chicago,2022-04-29,noise,834
Chicago,2022-04-29,other,138
Chicago,2022-04-29,sanitation,409
Chicago,2022-04-29,transport_public_realm,810
Chicago,2022-04-30,housing_buildings,135
Chicago,2022-04-30,information_administration,2010
Chicago,2022-04-30,noise,1155
Chicago,2022-04-30,other,84
Chicago,2022-04-30,sanitation,202
Chicago,2022-04-30,transport_public_realm,496
Chicago,2022-05-01,housing_buildings,95
Chicago,2022-05-01,information_administration,2060
Chicago,2022-05-01,noise,663
Chicago,2022-05-01,other,59
Chicago,2022-05-01,sanitation,190
